"","drat","wt","qsec","vs","am","gear","g_mean_dif_denominator","g_mean2_same_denominator","a_mean"
"Mazda RX4",3.9,2.62,16.46,0,1,4,3.12517794751996,3.59311948493645,4.33728717905705
"Mazda RX4 Wag",3.9,2.875,17.02,0,1,4,3.19504037454118,3.68340068814507,4.45918013283578
"Datsun 710",3.85,2.32,18.61,1,1,4,2.95433119204466,2.95433119204466,4.58608279801116
"Hornet 4 Drive",3.08,3.215,19.44,1,0,3,3.04278391359477,3.48696161053896,4.53309319051672
"Hornet Sportabout",3.15,3.44,17.02,0,0,3,3.26815833356299,4.54114174412122,4.30241250971053
"Valiant",2.76,3.46,20.22,1,0,3,3.04442533719825,3.48907304535904,4.62168729781966
"Duster 360",3.21,3.57,15.84,0,0,3,3.25843689880514,4.52388860688874,4.17529068821173
"Merc 240D",3.69,3.19,20,1,0,4,3.31461988420991,3.83848909104978,4.87913862190746
"Merc 230",3.92,3.15,22.9,1,0,4,3.42263917203444,3.97917546360138,5.29647682945448
"Merc 280",3.92,3.44,18.3,1,0,4,3.34204450037615,3.87415498859639,4.73452493612157
"Merc 280C",3.92,3.44,18.9,1,0,4,3.36096587836798,3.89878328651889,4.81496864561086
"Merc 450SE",3.07,4.07,17.4,0,0,3,3.37054877714299,4.72371971993649,4.45428356213493
"Merc 450SL",3.07,3.73,17.6,0,0,3,3.32297988094532,4.63870250483307,4.4202102982223
"Merc 450SLC",3.07,3.78,18,0,0,3,3.34535328328974,4.67864741497779,4.48425008728344
"Cadillac Fleetwood",2.93,5.25,17.98,0,0,3,3.52615054323202,5.00413322852319,4.7112854714694
"Lincoln Continental",3,5.424,17.82,0,0,3,3.55754665566019,5.06113584729384,4.73283531286925
"Chrysler Imperial",3.23,5.345,17.42,0,0,3,3.58197402325015,5.10558287039377,4.71031961170549
"Fiat 128",4.08,2.2,19.47,1,1,4,2.97909805385828,2.97909805385828,4.71352451346457
"Honda Civic",4.93,1.615,18.52,1,1,4,2.89592117577852,2.89592117577852,4.60710529394463
"Toyota Corolla",4.22,1.835,19.9,1,1,4,2.91727205069134,2.91727205069134,4.72369301267284
"Toyota Corona",3.7,2.465,20.01,1,0,3,3.01451690332613,3.45062245894521,4.58001742028392
"Dodge Challenger",2.76,3.52,16.87,0,0,3,3.19662370376724,4.41452116336993,4.22014310839215
"AMC Javelin",3.15,3.435,17.3,0,0,3,3.27727867780782,4.55734106152275,4.33995246741632
"Camaro Z28",3.73,3.84,15.41,0,0,3,3.3801092735429,4.74084707181016,4.26261954316913
"Pontiac Firebird",3.08,3.845,17.05,0,0,3,3.3241443987623,4.64077976748762,4.36749052078124
"Fiat X1-9",4.08,1.935,18.9,1,1,4,2.90164194978094,2.90164194978094,4.58978548744523
"Porsche 914-2",4.43,2.14,16.7,0,1,5,3.21542360472103,3.70978717160261,4.52440134704046
"Lotus Europa",3.77,1.513,16.9,1,1,5,2.80009541981226,2.80009541981226,4.34789885495306
"Ford Pantera L",4.22,3.17,14.5,0,1,5,3.33176376727558,3.86078061097402,4.3853180472812
"Ferrari Dino",3.62,2.77,15.5,0,1,5,3.20505699837652,3.69636483265602,4.34892772887907
"Maserati Bora",3.54,3.57,14.6,0,1,5,3.30273713230847,3.82304669146768,4.35447297797202
"Volvo 142E",4.11,2.78,18.6,1,1,4,3.07782029393314,3.07782029393314,4.70570507348328
