"","GEOID","under5","under5_pcntl","over64","over64_pcntl","heartDisease","heartDisease_pcntl","asthma","asthma_pcntl","lifeExpectancy","lifeExpectancy_pcntl","lowBirthWeight","lowBirthWeight_pcntl","cancer","cancer_pcntl","mentalHealth","mentalHealth_pcntl","diabetes","diabetes_pcntl","senPop_geom","senPop_arth"
"1","08001",0.0702549857557768,90.625,0.103029996781371,3.125,2.8,37.5,852.91125,98.4375,77.9775280898876,88.7096774193548,7.25845360824742,45.9016393442623,5.26041666666667,3.125,8,40.625,14.2302083333333,73.4375,32.4310605569973,53.4984796404019
"2","08003",0.0753172191699452,93.75,0.150652253212043,25,1.8,17.1875,358.345,45.3125,78.15,85.4838709677419,10.0975,83.6065573770492,6.2,21.875,10.325,79.6875,15.2,92.1875,50.3948684505398,60.4544920383101
"3","08005",0.0595968310628138,70.3125,0.136116159683121,18.75,2.5,32.8125,760.197346938775,90.625,79.7119047619048,58.0645161290323,7.37787234042553,52.4590163934426,6.3421768707483,28.125,7.14829931972789,26.5625,12.5537414965986,28.125,39.805687027953,45.0928925024972
"4","08007",0.04855676774164,45.3125,0.262439091306231,89.0625,1.7,15.625,222.84,25,82.05,17.741935483871,6.45666666666667,21.3114754098361,8.375,81.25,9.85,71.875,12.4,21.875,34.8661570843443,43.2281567659674
"5","08009",0.0502843982107245,48.4375,0.261759466791376,87.5,3.1,48.4375,410.935,51.5625,80,51.6129032258064,NA,NA,9.75,100,11.4,85.9375,14.3,75,65.8170580326297,68.5609879032258
"6","08011",0.034041817867634,10.9375,0.178503542422671,46.875,11.9,100,781.48,92.1875,78,87.0967741935484,7.36,50.8196721311475,6.2,21.875,12,93.75,16.1,100,54.5685908668021,67.060160702744
"7","08013",0.0449412879273974,40.625,0.145404111602451,21.875,2.2,23.4375,465.146176470588,62.5,81.5557692307692,24.1935483870968,6.31650793650794,19.672131147541,6.28382352941177,25,5.74558823529412,6.25,11.95,15.625,22.5581064221126,26.5753532816264
"8","08014",0.0443391572526031,39.0625,0.108871013975779,4.6875,1.6,14.0625,485.466111111111,64.0625,80.9153846153846,30.6451612903226,6.10866666666667,13.1147540983607,6.18666666666667,17.1875,5.75333333333333,7.8125,11.2733333333333,6.25,15.6289673531225,21.8761017098537
"9","08015",0.0381959801488456,18.75,0.252371441598988,84.375,3.7,67.1875,303.29,34.375,79.95,53.2258064516129,7.332,49.1803278688525,8.32,79.6875,8.8,51.5625,12.46,25,46.3248250801016,51.4826260356073
"10","08017",0.1071076011846,98.4375,0.165350444225074,37.5,4.7,81.25,173.01,14.0625,89.5,1.61290322580645,3.37,1.63934426229508,8.6,87.5,8.8,51.5625,13.6,51.5625,23.9517313622258,47.2363608320113
"11","08019",0.0494333678671617,46.875,0.201193626347588,62.5,6.8,90.625,365.846666666667,48.4375,82.9,4.83870967741935,7.57,57.3770491803279,7.46666666666667,59.375,7.83333333333333,34.375,12.6333333333333,29.6875,39.1555380827878,48.2323065397497
"12","08021",0.066530117823606,84.375,0.184486631632037,53.125,3.8,70.3125,288.85,32.8125,82.25,12.9032258064516,11.2,91.8032786885246,6.7,37.5,13.5,98.4375,14.05,68.75,52.6502727024562,61.113222721664
"13","08023",0.04115870348665,23.4375,0.276802621009334,93.75,1.1,6.25,199.115,18.75,79.5,61.2903225806452,22.45,100,7.7,64.0625,18.15,100,14.2,71.875,44.7981131187574,59.9350358422939
"14","08025",0.028501911713591,7.8125,0.133819951338199,14.0625,3.8,70.3125,416.06,54.6875,76.4,95.1612903225807,10.49,85.2459016393443,5.4,7.8125,10.1,75,15.8,98.4375,38.7646110398386,56.5035768846583
"15","08027",0.010259631490787,1.5625,0.359505862646566,100,11.2,98.4375,583.74,78.125,82.7,6.45161290322581,15.45,96.7213114754098,9.6,98.4375,10,73.4375,11.8,10.9375,33.9100653080126,62.6789360420706
"16","08029",0.0509493454694126,51.5625,0.254970209193122,85.9375,4,73.4375,321.294285714286,37.5,78.8857142857143,70.9677419354839,7.91142857142857,62.2950819672131,8.55714285714286,82.8125,10.9571428571429,84.375,14.4857142857143,81.25,67.8875918896213,70.0153137669663
"17","08031",0.0580972019590292,68.75,0.120820476760658,6.25,2.1,20.3125,830.119020979021,96.875,78.5230769230769,79.0322580645161,7.27615384615385,47.5409836065574,5.34125874125874,4.6875,6.97272727272727,25,12.9265734265734,40.625,29.1345514875197,43.2303601856748
"18","08033",0.065697361335487,79.6875,0.276252019386106,92.1875,2.2,23.4375,111.56,6.25,76.8,93.5483870967742,9.3,77.0491803278689,8.6,87.5,9.1,60.9375,13.2,43.75,49.5770814756987,62.7052852694048
"19","08035",0.0564750868732788,62.5,0.12405260121857,10.9375,2.5,32.8125,558.376393442623,76.5625,82.0764705882353,14.5161290322581,5.85983333333333,8.19672131147541,6.17704918032787,15.625,5.26229508196721,1.5625,10.6540983606557,1.5625,12.5628853823048,24.9194833715259
"20","08037",0.0432089461041309,34.375,0.161760194596694,31.25,2.9,40.625,217.278461538462,23.4375,82.4,11.2903225806452,7.16636363636364,44.2622950819672,5.19285714285714,1.5625,5.72142857142857,4.6875,12.2428571428571,18.75,16.037788127382,23.3600130736236
"21","08039",0.0438742080643593,37.5,0.162527550819656,32.8125,3.2,51.5625,628.5,84.375,80.5142857142857,40.3225806451613,6.95857142857143,36.0655737704918,7.28571428571429,53.125,7.5,31.25,12.4142857142857,23.4375,40.6476580439727,43.3834060461837
"22","08041",0.0640938915927883,78.125,0.134467364958055,15.625,3.3,54.6875,743.369302325581,87.5,79.0419642857143,66.1290322580645,7.80714285714286,59.0163934426229,6.19,18.75,6.95307692307692,23.4375,14.3046153846154,76.5625,45.0678282574335,53.3147695222986
"23","08043",0.0359994675410209,14.0625,0.209397388334296,68.75,6,87.5,544.417142857143,68.75,76.1363636363636,98.3870967741936,6.79583333333333,31.1475409836066,7.61428571428571,62.5,9.23571428571429,64.0625,13.9214285714286,59.375,54.4929856106499,61.6149597508667
"24","08045",0.0662228100460813,81.25,0.129864749818625,12.5,3.4,60.9375,365.340909090909,46.875,81.27,29.0322580645161,7.10363636363636,42.6229508196721,5.90909090909091,12.5,6.74545454545455,20.3125,13.4181818181818,45.3125,32.575126851485,39.0380787649098
"25","08047",0.023928215353938,4.6875,0.179295446992356,48.4375,3,43.75,414.72,53.125,81.8,19.3548387096774,12.15,93.4426229508197,6.9,43.75,6.9,21.875,11.9,12.5,28.2384718010198,37.880273517833
"26","08049",0.0390768162680827,20.3125,0.170531415083975,42.1875,0.9,3.125,211.13,21.875,80.5333333333333,38.7096774193548,9.47333333333333,80.327868852459,6.7,37.5,7.33333333333333,29.6875,13.5333333333333,48.4375,27.7702468621652,35.795838474646
"27","08051",0.0425700675724535,29.6875,0.157329463314054,29.6875,1.3,12.5,198.9175,17.1875,80.6666666666667,35.4838709677419,8.27333333333333,65.5737704918033,6.225,23.4375,6.525,17.1875,13.175,42.1875,26.9452428021172,30.3258490510606
"28","08053",0.043173862310385,32.8125,0.245040840140023,79.6875,3.5,62.5,71.7,3.125,81.4,27.4193548387097,NA,NA,8.3,78.125,8.1,42.1875,12,17.1875,30.7202973960566,42.8805443548387
"29","08055",0.0347224207998845,12.5,0.310274645046549,98.4375,1.3,12.5,534.005,67.1875,81.4,27.4193548387097,7.5,55.7377049180328,9,90.625,12.7,95.3125,12.35,20.3125,40.2473607271047,53.3368955285269
"30","08057",0.026169706582078,6.25,0.283108643933386,96.875,2.3,28.125,272.54,29.6875,78.7,74.1935483870968,12.24,95.0819672131148,8.3,78.125,9.2,62.5,13.6,51.5625,45.8637517845694,58.0445017333568
"31","08059",0.0507313947305487,50,0.163352032059655,34.375,3,43.75,645.911231884058,85.9375,79.9404958677686,54.8387096774194,6.82511278195489,32.7868852459016,7.16861313868613,48.4375,6.44452554744526,14.0625,11.736496350365,9.375,34.7658565428311,41.5070105470357
"32","08061",0.118871725990597,100,0.247145735392881,81.25,0.6,1.5625,338.67,42.1875,78.2,82.258064516129,8.22,63.9344262295082,9.3,93.75,10.4,81.25,14,64.0625,48.0856445142025,67.8061100828486
"33","08063",0.0574978464578733,67.1875,0.1967839137003,60.9375,2.3,28.125,429.006666666667,57.8125,80.0333333333333,50,7.39,54.0983606557377,8.06666666666667,73.4375,8.9,54.6875,13.7333333333333,54.6875,54.0773073550246,55.6637067395264
"34","08065",0.0415109298329035,25,0.0928641664893915,1.5625,2.9,40.625,244.055,28.125,78.6,77.4193548387097,10.8,86.8852459016393,5.45,9.375,8.5,46.875,14.7,87.5,28.2731091800765,44.8185667489277
"35","08067",0.0518261913767985,54.6875,0.165353032525387,39.0625,2.1,20.3125,320.677,35.9375,81.72,22.5806451612903,6.636,24.5901639344262,6.69,34.375,6.72,18.75,12.78,35.9375,30.0626777697887,31.8037010106352
"36","08069",0.0483367795926087,43.75,0.155734318520632,26.5625,2.5,32.8125,750.460547945205,89.0625,80.5459016393443,37.0967741935484,6.59157142857143,22.9508196721311,6.58767123287671,31.25,6.01369863013699,10.9375,13.4246575342466,46.875,32.9932419164899,37.9219548739644
"37","08071",0.0424704408436073,28.125,0.238843732083154,78.125,3.7,67.1875,546.96,70.3125,78.6166666666667,75.8064516129032,8.54666666666667,70.4918032786885,7.51666666666667,60.9375,11.6,89.0625,13.6833333333333,53.125,63.1591554963872,65.9081394323991
"38","08073",0.0625717701412765,75,0.1851611028583,54.6875,2.3,28.125,446.81,60.9375,80.8,33.8709677419355,5.9,9.83606557377049,7.85,68.75,9.45,68.75,13.95,60.9375,44.4290762899933,51.2105037017451
"39","08075",0.0596000738601158,71.875,0.172194452024084,43.75,1.3,12.5,598.485,81.25,78.1833333333333,83.8709677419355,6.00833333333333,11.4754098360656,7.26666666666667,51.5625,8.8,51.5625,14.4666666666667,78.125,44.1584808552064,53.996819730889
