,GEOID,peopleOfColor,peopleOfColor_pcntl,highSchool,highSchool_pcntl,percent_lowincome,percent_lowincome_pcntl,percent_lingiso,percent_lingiso_pcntl,percent_disability,percent_disability_pcntl,HH_Burdened_Pct,HH_Burdened_Pct_pcntl,socEco_geoMean,geoMeanDist,socEco_arthMean,arthMeanDist,geoMeanRank - arthMeanRank
3513,80150004011,0,0,0,0,0.55017301,90.8045977,0,0,0.16410981,84.34214265,0.489637306,89.82275586,9.395570176,0.137599094,44.1615827,0.526330691,-0.388731597
3037,80899686001,0.487408611,79.0105805,0,0,0.536149472,89.71264368,0,0,0.204580153,94.62915601,0.081818182,1.658090337,10.178771,0.153737259,44.16841175,0.526613817,-0.372876557
368,80050066014,0.595975232,86.53131255,0,0,0.755417957,98.79310345,0,0,0.133933298,72.52060244,0.517374517,92.48141795,19.63673596,0.371177803,58.3877394,0.737259343,-0.36608154
3111,81010009024,0.745877789,94.05204461,0,0,0.521111111,88.53448276,0,0,0.18274924,90.73600455,0.426065163,80.58890795,19.83456147,0.377123443,58.98523998,0.742921857,-0.365798414
23,80010083091,0.957393484,99.88561624,0.391891892,97.76987718,0,0,0,0,0.073159257,21.65387894,0.585365854,96.74099485,16.53772298,0.302378256,52.6750612,0.657701019,-0.355322763
996,80299652002,0.011042945,0.400343151,0.044630404,36.39301875,0.482208589,85.8045977,0,0,0.181978022,90.30974709,0.432276657,81.76100629,14.4835042,0.255379388,49.11145216,0.602491506,-0.347112118
3498,80010083531,0,0,0.306122449,94.76405947,1,100,0,0,0.085599432,32.28189827,0.545454545,94.71126358,17.52537792,0.325311438,53.62620355,0.671007928,-0.345696489
1039,80310005023,0.495670996,79.98284244,0,0,0.510822511,88.04597701,0,0,0.16983017,86.61551577,0.428176796,80.98913665,19.15526374,0.357870895,55.93891198,0.70186863,-0.343997735
731,80130123002,0.559837728,84.32942522,0.039331367,32.90239173,0.551901999,90.97701149,0.181944444,93.625,0.019940476,0.113668656,0.609722222,97.62721555,25.30018066,0.491506229,66.59578544,0.826443941,-0.334937712
1658,80370005034,0.858577406,98.112668,0,0,0.6041841,93.59195402,0.407713499,100,0.040220217,2.557544757,0.820936639,99.88564894,24.83409414,0.484428086,65.69130262,0.817100793,-0.332672707
1991,80410065021,0.424,73.17700886,0,0,0.534,89.54022989,0,0,0.146468193,78.60187553,0.443181818,83.47627216,18.71679437,0.350226501,54.13256441,0.67808607,-0.32785957
3280,81170002002,0.649805447,89.1049471,0.086419753,60.60116354,0.630350195,94.82758621,0,0,0.036007828,1.705029838,1,100,21.06241876,0.399773499,57.70645445,0.727633069,-0.32785957
3166,81010027006,0.4826546,78.58164141,0,0,0.526395173,88.87931034,0,0,0.200262763,94.31656721,0.311036789,54.31675243,18.15267333,0.338901472,52.68237856,0.657984145,-0.319082673
728,80130122042,0.067449956,8.26422648,0.002617801,0.323206206,0.777372263,99.1954023,0,0,0.088379705,35.15203183,0.843088418,99.91423671,9.88079469,0.147791619,40.47485059,0.465175538,-0.317383918
2687,80690011102,0.279298246,55.39033457,0,0,0.679298246,96.89655172,0,0,0.048667025,5.598181302,0.708491762,99.42824471,12.00097434,0.194507361,42.88555205,0.507078143,-0.312570781
944,80150004013,0.052352049,5.318844724,0.007070707,2.294764059,0.554628225,91.14942529,0,0,0.16410981,84.34214265,0.545816733,94.73985134,14.39288214,0.25198188,46.30750468,0.563420159,-0.311438279
1970,80410059005,0.49270073,79.61109522,0,0,0.248905109,52.15517241,0,0,0.153644629,81.27308895,0.628133705,98.14179531,17.92030064,0.336070215,51.86352532,0.645243488,-0.309173273
1733,80410016001,0.25294651,50.55762082,0,0,0.665615142,96.32183908,0,0,0.116520101,60.15913612,0.62962963,98.17038308,17.50379608,0.324178935,50.86816318,0.63193658,-0.307757644
44,80010085071,0.534667287,82.75664856,0.10952381,68.09954751,0.009367681,0.25862069,0,0,0.11860361,62.4609264,0.073214286,1.114922813,6.829841129,0.077293318,35.78177766,0.384767837,-0.307474519
233,80010096034,0.286231884,56.64855591,0.19123506,84.97091144,0,0,0,0,0.128880983,68.94003978,0.677884615,99.1995426,17.90221299,0.335220838,51.62650829,0.642412231,-0.307191393
2790,80690027001,0.025824964,1.344009151,0,0,0.467718795,84.33908046,0.203065134,95.1875,0.12099872,63.59761296,0.095785441,2.458547742,10.91076189,0.169875425,41.15445839,0.475651189,-0.305775764
341,80050059514,0.030328559,1.772948241,0.046826223,38.17065288,0.557127312,91.26436782,0,0,0.182975713,90.8496732,0.641571195,98.39908519,19.51372682,0.366930917,53.40945455,0.667610419,-0.300679502
3091,81010001002,0.232835821,47.09751215,0,0,0.352238806,70.31609195,0,0,0.220496894,96.05001421,0.483333333,89.02229846,17.45854935,0.322763307,50.41431946,0.622593431,-0.299830125
2973,80859663002,0.172661871,33.74320846,0.088948787,61.86166774,0.424460432,79.1954023,0,0,0.17283734,88.20687695,0.046332046,0.371640938,13.25324807,0.224518686,43.89646607,0.522933182,-0.298414496
1472,80310156003,0.699481865,91.67858164,0.232854864,89.52811894,0.687176166,97.27011494,0,0,0.041558734,3.069053708,0.511450382,91.85248714,24.66325334,0.481879955,62.23305939,0.778595696,-0.296715742
231,80010096032,0.278582931,55.30454675,0.178970917,83.03167421,0.006441224,0.086206897,0,0,0.128880983,68.94003978,0.11682243,4.488279017,7.047195776,0.082672707,35.30845778,0.377689694,-0.295016988
2054,80439783004,0.00075188,0.028595939,0.01659751,11.34453782,0.263909774,54.77011494,0,0,0.155025223,81.75618073,0.320726172,56.97541452,6.601467446,0.072197055,34.14580733,0.35815402,-0.285956965
732,80130124011,0.205298013,41.52130397,0,0,1,100,0,0,0.05278835,7.587382779,1,100,12.10766779,0.198187995,41.51811446,0.482446206,-0.284258211
2056,80439784002,0.034076016,2.230483271,0.109347443,68.03490627,0.498680739,87.04022989,0,0,0.230363732,96.78886047,0.387706856,73.15608919,21.30530593,0.403171008,54.54176152,0.684314836,-0.281143828
733,80130124012,0.194774347,38.97626537,0,0,0.844370861,99.62643678,0,0,0.05278835,7.587382779,0.798518519,99.82847341,11.96979946,0.193657984,41.00309306,0.472536806,-0.278878822
989,80299650002,0.014395393,0.600514727,0.05047749,40.40077569,0.380998081,74.16666667,0,0,0.184122748,91.19067917,0.346062053,63.69353917,14.78636173,0.263306908,45.0086959,0.539920725,-0.276613817
2222,80590098491,0.204545455,41.26394052,0,0,0.661290323,96.14942529,0,0,0.098939929,45.12645638,0.624031008,97.99885649,16.1198726,0.293601359,46.75644645,0.569648924,-0.276047565
