"ol2","count"
"1",191
"10",2
"100",1
"102",1
"103",3
"105",4
"106",14
"109",1
"11",1
"110",1
"111",3
"112",3
"113",14
"113:114",17
"113:115",1
"114",49
"114:115",1
"115",30
"116",1
"119",3
"12",3
"120",1
"121",1
"123",2
"125",2
"126",2
"128",1
"129",3
"13",1
"130",1
"131",8
"132",6
"133",1
"134",6
"135",1
"137",2
"138",1
"139",1
"14",6
"140",1
"141",2
"142",5
"143",14
"144",2
"147",11
"148",2
"149",4
"150",1
"151",2
"153",1
"154",1
"155",3
"156",3
"157",3
"158",4
"16",5
"166",2
"167",5
"17",1
"173",12
"174",2
"177",1
"178",9
"178:179",1
"179",20
"18",1
"183",2
"184",1
"186",2
"188",11
"188:189",2
"19",1
"19:20",1
"190",1
"192",1
"194",1
"195",17
"198",24
"2",21
"201",1
"202",1
"203",6
"204",4
"207",1
"209",100
"209:210",2
"21",73
"210",13
"211",2
"213",1
"216",10
"219",1
"22",6
"220",16
"221",2
"222",8
"224",8
"227",2
"23",16
"232",2
"235",2
"236",4
"237",23
"239",271
"24",28
"245",1
"246",7
"252",1
"257",2
"26",5
"260",1
"262",9
"262:263",3
"263",9
"27",2
"274",1
"275",1
"276",1
"276:277",1
"277",2
"28",15
"282",3
"29",4
"291",5
"30",3
"300",17
"301",1
"305",1
"307",1
"308",2
"31",3
"311",1
"314",1
"316",19
"318",1
"319",1
"32",2
"324",31
"328",1
"33",1
"332",1
"333",2
"335",5
"34",8
"345",1
"346",2
"347",1
"348",1
"35",13
"356",2
"357",4
"358",8
"359",17
"363",6
"364",3
"365",1
"367",1
"370",2
"372",1
"373",1
"378",2
"38",2
"380",21
"381",1
"387",12
"39",2
"390",1
"391",2
"392",1
"397",1
"399",4
"4",51
"400",2
"402",2
"403",1
"409",4
"410",1
"411",1
"415",381
"416",9
"42",2
"422",2
"423",1
"424",2
"428",5
"429",17
"43",2
"44",8
"45",1
"47",1
"48",16
"49",2
"50",2
"51",1
"52",14
"53",1
"54",8
"55",5
"56",3
"57",3
"59",2
"6:7",3
"60",3
"61",11
"62",2
"64",2
"65",6
"66",1
"68",11
"69",11
"7",1
"71",1
"72",42
"73",6
"74",4
"75",2
"76",2
"77",2
"78",4
"81",2
"82",1
"84",3
"86",1
"87",1
"89",8
"9",10
"90",1
"91",5
"92",9
"93",3
"95",36
"96",8
"96:97",2
"97",2
"98",26
"99",2
"c(1, 170, 282, 303, 319, 410, 415, 419, 424)",1
"c(1, 170, 303, 319, 410, 424)",1
"c(1, 18, 270, 380, 415)",1
"c(1, 252)",3
"c(1, 252, 429)",1
"c(1, 270, 280, 326, 415)",1
"c(1, 270, 380, 415)",1
"c(1, 270, 415)",1
"c(1, 280, 415)",4
"c(1, 282)",2
"c(1, 282, 415)",5
"c(1, 290)",1
"c(1, 303, 410)",1
"c(1, 359)",1
"c(1, 410)",4
"c(1, 410, 429)",4
"c(1, 415)",29
"c(1, 415, 419)",3
"c(1, 423)",1
"c(1, 429)",28
"c(10, 195)",1
"c(101, 227)",2
"c(102, 239)",4
"c(103, 193)",1
"c(104, 167, 188)",1
"c(104, 188)",4
"c(106, 172)",6
"c(106, 192)",3
"c(107, 124)",1
"c(107, 124, 208, 244)",1
"c(107, 239, 298)",1
"c(107, 254, 298)",1
"c(107, 254, 409)",1
"c(107, 409)",1
"c(108, 183, 184, 406)",1
"c(108, 183, 312, 329, 333)",1
"c(108, 190, 312, 329)",1
"c(108, 263, 316)",1
"c(108, 316)",1
"c(109, 146)",3
"c(111, 334)",1
"c(113, 114, 115, 304)",1
"c(113, 115)",7
"c(114, 304)",1
"c(114, 357)",6
"c(114, 357, 380)",1
"c(114, 380)",2
"c(115, 199, 266, 291, 354)",1
"c(115, 199, 291)",4
"c(115, 217)",6
"c(115, 291)",4
"c(117, 345)",1
"c(118, 192)",3
"c(122, 130)",2
"c(123, 173)",2
"c(124, 239, 244)",1
"c(125, 242)",2
